"","past_pat_year","past_pat","pasture_id","patch_id","year","BOBO_1","BOBO_2","BOBO_3","BOBO_4","BOBO_5","clouds_1","clouds_2","clouds_3","clouds_4","clouds_5","wind_1","wind_2","wind_3","wind_4","wind_5","julian_date_1","julian_date_2","julian_date_3","julian_date_4","julian_date_5","start_time_1","start_time_2","start_time_3","start_time_4","start_time_5","observer_1","observer_2","observer_3","observer_4","observer_5","area_surveyed","transect_length"
"1","235_C_2014","235_C","235","C",2014,0,0,0,0,1,0.13,0.13,0.38,0.13,0.13,2,4,5,3,2,141,152,168,184,200,6.85,8.21666666666667,8.11666666666667,7.13333333333333,6.95,"CD","SR","CD","ORG","CD",8,800
"2","235_C_2015","235_C","235","C",2015,0,0,1,5,0,0.13,0.38,0.38,0.13,0.13,3,3,2,3,2,141,161,177,193,211,7.63333333333333,8.53333333333333,7.46666666666667,7.48333333333333,7.58333333333333,"BSV","BSV","BSV","BSV","BSV",8,800
"3","235_C_2016","235_C","235","C",2016,2,7,11,7,0,0.13,0.63,0.13,0.38,0.38,1,2,1,3,2,150,166,179,195,211,6.38333333333333,7.71666666666667,6.21666666666667,7.96666666666667,7.63333333333333,"SBN","JJC","SR","ACW","SBN",8,800
"4","235_C_2017","235_C","235","C",2017,9,7,3,0,0,0.13,0.38,0.13,0.13,0.13,1,4,4,1,2,150,164,176,189,205,7.06666666666667,7.43333333333333,7.96666666666667,8.35,7.8,"JJC","ALL","JJC","ALL","JJC",8,800
"5","235_C_2018","235_C","235","C",2018,4,9,11,5,9,0.13,0.38,0.88,0.13,0.38,4,3,2,2,4,147,161,174,187,199,7.78333333333333,7.51666666666667,8.8,6.91666666666667,7.81666666666667,"SR","JJC","SR","TMS","BJE",8,800
"6","235_C_2021","235_C","235","C",2021,5,5,8,9,6,0.88,0.38,0.63,0.88,0.13,1,1,1,3,1,151,165,179,192,199,8.01666666666667,6.85,7.28333333333333,7.46666666666667,7.03333333333333,"JJC","JJC","JNA","JEM","JJC",8,800
"7","235_C_2022","235_C","235","C",2022,0,0,0,3,0,0.38,0.13,0.13,0.13,0.38,3,2,3,3,3,156,168,179,191,196,7.26666666666667,8.3,7.66666666666667,8.38333333333333,8.21666666666667,"JJC","HKG","WPT","NGP","JJC",8,800
"8","235_C_2023","235_C","235","C",2023,0,0,1,4,4,0.38,0.88,0.38,0.88,0.13,2,3,1,3,2,154,168,178,189,195,7.66666666666667,8.38333333333333,8.85,7.79,7.45,"JJC","WPT","JJC","JJC","JLS",8,800
"9","235_N_2015","235_N","235","N",2015,0,0,0,2,3,0.13,0.38,0.38,0.13,0.13,3,3,3,3,2,139,161,177,193,211,8.13333333333333,8.81666666666667,7.75,7.83333333333333,7.88333333333333,"BSV","BSV","BSV","BSV","BSV",8,800
"10","235_N_2016","235_N","235","N",2016,0,1,0,12,0,0.38,0.63,0.13,0.38,0.63,1,1,1,3,2,150,166,179,195,211,8.98333333333333,8.13333333333333,6.53333333333333,8.36666666666667,8.05,"SBN","JJC","SR","ACW","SBN",8,800
"11","235_N_2018","235_N","235","N",2018,1,1,4,1,0,0.13,0.63,0.88,0.13,0.38,4,1,2,2,3,147,161,174,187,199,8.6,7.91666666666667,9.05,7.58333333333333,7.2,"SR","JJC","SR","TMS","BJE",8,800
"12","235_N_2021","235_N","235","N",2021,5,7,0,1,0,0.88,0.38,0.88,0.88,0.13,1,1,1,3,1,151,165,179,192,199,6.95,7.21666666666667,7.95,8.15,7.5,"JJC","JJC","JNA","JEM","JJC",8,800
"13","235_N_2022","235_N","235","N",2022,0,0,1,0,0,0.38,0.13,0.13,0.13,0.38,1,2,3,3,3,156,168,179,191,196,6.41666666666667,7.53333333333333,8.71666666666667,7.68333333333333,7.5,"JJC","HKG","WPT","NGP","JJC",8,800
"14","235_S_2014","235_S","235","S",2014,6,1,0,5,3,0.38,0.38,0.38,0.13,0.38,2,4,4,3,1,141,152,168,184,200,6.16666666666667,7.56666666666667,7.51666666666667,5.86666666666667,6.2,"CD","SR","CD","ORG","CD",9,900
"15","235_S_2015","235_S","235","S",2015,0,0,5,5,1,0.13,0.38,0.88,0.13,0.13,2,3,2,3,2,141,161,177,193,211,6.56666666666667,7.91666666666667,6.6,6.53333333333333,6.7,"BSV","BSV","BSV","BSV","BSV",9,900
"16","235_S_2016","235_S","235","S",2016,6,4,13,2,0,0.13,0.38,0.13,0.38,0.38,1,1,4,3,2,150,166,177,195,211,7.08333333333333,6.4,8.86666666666667,6.43333333333333,6.46666666666667,"SBN","JJC","SR","ACW","SBN",9,900
"17","235_S_2017","235_S","235","S",2017,3,1,3,6,0,0.38,0.13,0.13,0.13,0.13,3,4,2,1,1,150,164,176,189,205,5.91666666666667,6.3,6.73333333333333,7.31666666666667,6.38333333333333,"JJC","ALL","JJC","ALL","JJC",9,900
"18","235_S_2018","235_S","235","S",2018,1,2,0,0,0,0.13,0.38,0.88,0.38,0.63,4,2,2,2,3,147,161,174,187,199,7.05,6.3,8.06666666666667,6.06666666666667,6.33333333333333,"SR","JJC","SR","TMS","BJE",9,900
"19","235_S_2021","235_S","235","S",2021,0,3,1,0,0,0.88,0.38,0.88,0.88,0.13,1,3,1,3,1,151,165,179,192,199,6.08333333333333,5.95,6.13333333333333,6.5,6.21666666666667,"JJC","JJC","JNA","JEM","JJC",9,900
